GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
client_project,eu.ensup.client_project.config,DomainConfig,0,3,0,0,0,1,0,1,0,1
client_project,eu.ensup.client_project.config,SecurityConfig,0,74,0,0,0,23,0,3,0,3
client_project,eu.ensup.client_project,ClientProjectApplication,0,8,0,0,0,3,0,2,0,2
client_project,eu.ensup.client_project.domaine,Teacher,0,14,0,0,0,4,0,3,0,3
client_project,eu.ensup.client_project.domaine,Person,0,68,0,0,0,9,0,13,0,13
client_project,eu.ensup.client_project.domaine,Course,0,44,0,0,0,7,0,9,0,9
client_project,eu.ensup.client_project.domaine,Director,0,5,0,0,0,2,0,2,0,2
client_project,eu.ensup.client_project.domaine,Student,0,23,0,0,0,6,0,5,0,5
client_project,eu.ensup.client_project.domaine,PhysicalPerson,0,25,0,0,0,7,0,5,0,5
client_project,eu.ensup.client_project.controller,HomeController,0,13,0,0,0,5,0,5,0,5
client_project,eu.ensup.client_project.controller,UserController,28,67,10,6,5,15,8,6,0,6
